0.10,0.27,0.00,1.00,2.00
0.20,0.47,0.00,2.00,3.00
0.30,0.74,0.00,3.00,5.00
0.40,1.12,1.00,4.00,7.00
0.50,1.48,1.00,5.00,10.00
0.60,2.02,1.00,7.00,14.00
0.70,2.75,2.00,9.00,22.00
0.80,3.83,2.00,12.00,33.00
0.90,6.68,4.00,18.00,56.00
